month,compare_month,country_key,country_label,source_key,source_label,gmv_prev,gmv_cur,old_gmv_prev,old_gmv_cur,new_gmv_prev,new_gmv_cur,orders_total_prev,orders_total_cur,orders_success_prev,orders_success_cur,success_users_prev,success_users_cur,success_rate_prev,success_rate_cur,new_users_prev,new_users_cur,repurchase_rate_prev,repurchase_rate_cur,retention_rate_prev,retention_rate_cur,conversion_rate_prev,conversion_rate_cur
2026-05,2026-04,summary,汇总（所有国家）,__ALL__,来源汇总,3093819,3350505,2612714,2879769,481105,470736,59656,64694,51604,55866,27116,29625,0.8650261499262438,0.8635422141156831,8068,8005,0.665183353934899,0.6736981855730934,0.5333653384541527,0.5608678955453149,0.5493306891422906,0.5567770143660212
2026-05,2026-04,summary,汇总（所有国家）,易付全球(小程序),易付全球(小程序),1905327,2096745,1618713,1818537,286614,278209,38826,42577,33546,36752,17711,19684,0.8640086539947458,0.8631890457289146,4782,4532,0.6661050994621914,0.6749477725707188,0.5409902597402597,0.5670356703567035,0.5393140945211209,0.5525154457193292
2026-05,2026-04,summary,汇总（所有国家）,easy大马生活(公众号),easy大马生活(公众号),896,9157,896,8690,0,468,24,274,16,192,10,60,0.6666666666666666,0.7007299270072993,64,202,0.030303030303030304,0.4,0.0,,0.0,0.019801980198019802
2026-05,2026-04,summary,汇总（所有国家）,易付全球(公众号),易付全球(公众号),825669,913336,671431,751764,154239,161572,16422,17865,14297,15567,8023,8728,0.870600414078675,0.8713685978169605,2645,2793,0.5835953520164047,0.5782126386638414,0.40353260869565216,0.4008859357696567,0.5697542533081286,0.5936269244539921
2026-05,2026-04,summary,汇总（所有国家）,easy大马生活(小程序),easy大马生活(小程序),13763,5838,12750,5838,1013,0,347,148,265,114,138,64,0.7636887608069164,0.7702702702702703,324,193,0.5,0.34057971014492755,0.625,0.2777777777777778,0.037037037037037035,0.0
2026-05,2026-04,summary,汇总（所有国家）,e付全酋(小程序),e付全酋(小程序),176653,178128,161204,162745,15448,15382,1590,1720,1437,1506,702,715,0.9037735849056604,0.8755813953488372,153,171,0.5791044776119403,0.6168091168091168,0.5176470588235295,0.4943820224719101,0.41830065359477125,0.3684210526315789
2026-05,2026-04,summary,汇总（所有国家）,支付宝小程序,支付宝小程序,80834,65954,67497,57161,13338,8793,1677,1353,1381,1082,689,534,0.8234943351222421,0.7997043606799704,1204,723,0.5135467980295566,0.4513788098693759,0.3444976076555024,0.3208955223880597,0.10299003322259136,0.12033195020746888
2026-05,2026-04,summary,汇总（所有国家）,e付全酋(公众号),e付全酋(公众号),90677,81348,80224,75035,10453,6313,770,757,662,653,346,353,0.8597402597402597,0.8626155878467635,100,114,0.5247813411078717,0.5346820809248555,0.25925925925925924,0.2833333333333333,0.42,0.2894736842105263
2026-05,2026-04,summary,汇总（所有国家）,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,global,全球（其他国家）,__ALL__,来源汇总,522097,550354,431014,465701,91083,84653,11641,12078,9805,9760,4128,4379,0.8422815909286144,0.8080808080808081,1973,1959,0.5702521873391663,0.5750968992248062,0.42002301495972383,0.3833718244803695,0.335022807906741,0.3481368044920878
