国家,营业额_2026-06,营业额_2026-07,成单数_2026-07,成单人数_2026-07
汇总（所有国家）,3463770,3668304,62032,33204
重点国家,2889586,3073943,51966,28689
全球（其他国家）,574185,594360,10066,4584
印度尼西亚,1304217,1364017,29655,17899
墨西哥,488018,495383,7136,3413
沙特阿拉伯,281349,314281,1747,1086
阿联酋,277048,313935,2183,1087
吉尔吉斯斯坦,252930,283645,5484,2781
斯里兰卡,201073,222527,5022,2026
伊拉克,84950,80154,739,405
尼日利亚,57186,65896,1306,629
牙买加,61683,64889,435,268
巴西,51649,64095,1373,668
美国,73767,58774,561,131
埃及,24131,25127,662,196
越南,19465,20566,564,288
